StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q4_4_TEXT,Q5,Q5_3_TEXT,Q6,Q10,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,Q17,Q18,Q19,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q21,Q22,Q23,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q25,Q26,Q27,Q28_First Click,Q28_Last Click,Q28_Page Submit,Q28_Click Count,Q29,Q30,Q31,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q33,Q34,Q35,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Q38,Q39,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,Q41,Q42,Q43,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q45,Q46,Q47,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,Q49,Q50,Q51,Q52_First Click,Q52_Last Click,Q52_Page Submit,Q52_Click Count,Q53,Q54,Q55,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,Q57,Q58,Q59,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q61,Q62,Q63,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,Q65,Q66,Q67,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,Q69,Q70,Q71,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,Q73,Q74,Q75,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q77,Q78,Q79,Q80_First Click,Q80_Last Click,Q80_Page Submit,Q80_Click Count,Q81,Q82,Q83,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,Q85,Q86,Q87,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q89,Q91,Q92,Q92_1_TEXT,Q93,Q94,Q96,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q111
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you completed this survey before?,"Please enter your identifier below, by typing the following pieces of information:



	The first two characters of your father's first name
	The first two characters of your mother's first name
	The first two characters of the town in which you were born
	The day of the month on which you were born (e.g. if you were born on the 14th May please type 14)

For example: Adam's parents are called Brian and Christina. He was born in Dundee on the 17th April. Therefore his identifier should be 'BRCHDU17'. 
 If you do not know one of these pieces of information, please type '00' instead of that piece of information. 
This will only be used to link your responses to one another (if you complete the quiz more than once).",How old are you? - Selected Choice,How old are you? - Please write your answer below: - Text,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,Is English your native language?,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,Who is this person?,Celebrity ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you correctly recognize this person (ignoring any spelling mistakes)? The person in the picture is,What's the highest level of education you have completed?,"How many full-time years of education (primary, secondary, college) have you completed? - Selected Choice","How many full-time years of education (primary, secondary, college) have you completed? - Please write your answer below: - Text",Which of the following best describe your current field of occupation?,List of Countries,"We hope that you would like to complete this quiz again (with new famous faces). So that your responses can be linked to one another if you complete the quiz more than once, please enter an identifier below by typing the following pieces of information:



	The first two characters of your father's name
	The first two characters of your mother's name
	The first two characters of the town in which you were born
	The day of the month on which you were born (e.g. if you were born on the 14th May please type 14)

For example: Adam's parents are called Brian and Christina. He was born in Dundee on the 17th April. Therefore his identifier should be 'BRCHDU17'. 
 If you do not know one of these pieces of information, please type '00' instead of that piece of information. 
This will only be used to link your responses to one another (if you complete the quiz more than once).",Do you currently have a long term partner?,How long have you had this long term partner?,"Approximately, which of the following options matches most closely with your skin tone? (If you don't want to answer this question, you can skip it by pressing enter).",How would you rate your physical health?,How would you rate your mental health?,How would you rate your memory performance?,"How many hours, on average, do you sleep per night?",How would you rate the quality of your sleep?,"On average, how much alcohol do you consume per day (assume one unit is equivalent to one beer glass)?",Are you diagnosed with a mental illness (no details will be asked)?,Are you taking daily prescription medication?,Do you feel like these medications are influencing your memory performance?,"If you have any suggestions on how to improve this survey, such as other celebrities you would like to add, feel free to write a message to us below:"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID424""}","{""ImportId"":""QID426_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_4_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_3_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID431_FIRST_CLICK""}","{""ImportId"":""QID431_LAST_CLICK""}","{""ImportId"":""QID431_PAGE_SUBMIT""}","{""ImportId"":""QID431_CLICK_COUNT""}","{""ImportId"":""QID115""}","{""ImportId"":""QID120_TEXT""}","{""ImportId"":""QID121_TEXT""}","{""ImportId"":""QID432_FIRST_CLICK""}","{""ImportId"":""QID432_LAST_CLICK""}","{""ImportId"":""QID432_PAGE_SUBMIT""}","{""ImportId"":""QID432_CLICK_COUNT""}","{""ImportId"":""QID427""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID124_TEXT""}","{""ImportId"":""QID433_FIRST_CLICK""}","{""ImportId"":""QID433_LAST_CLICK""}","{""ImportId"":""QID433_PAGE_SUBMIT""}","{""ImportId"":""QID433_CLICK_COUNT""}","{""ImportId"":""QID428""}","{""ImportId"":""QID116_TEXT""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""QID434_FIRST_CLICK""}","{""ImportId"":""QID434_LAST_CLICK""}","{""ImportId"":""QID434_PAGE_SUBMIT""}","{""ImportId"":""QID434_CLICK_COUNT""}","{""ImportId"":""QID429""}","{""ImportId"":""QID126_TEXT""}","{""ImportId"":""QID127_TEXT""}","{""ImportId"":""QID435_FIRST_CLICK""}","{""ImportId"":""QID435_LAST_CLICK""}","{""ImportId"":""QID435_PAGE_SUBMIT""}","{""ImportId"":""QID435_CLICK_COUNT""}","{""ImportId"":""QID430""}","{""ImportId"":""QID436_TEXT""}","{""ImportId"":""QID437_TEXT""}","{""ImportId"":""QID438_FIRST_CLICK""}","{""ImportId"":""QID438_LAST_CLICK""}","{""ImportId"":""QID438_PAGE_SUBMIT""}","{""ImportId"":""QID438_CLICK_COUNT""}","{""ImportId"":""QID439""}","{""ImportId"":""QID440_TEXT""}","{""ImportId"":""QID441_TEXT""}","{""ImportId"":""QID442_FIRST_CLICK""}","{""ImportId"":""QID442_LAST_CLICK""}","{""ImportId"":""QID442_PAGE_SUBMIT""}","{""ImportId"":""QID442_CLICK_COUNT""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444_TEXT""}","{""ImportId"":""QID445_TEXT""}","{""ImportId"":""QID446_FIRST_CLICK""}","{""ImportId"":""QID446_LAST_CLICK""}","{""ImportId"":""QID446_PAGE_SUBMIT""}","{""ImportId"":""QID446_CLICK_COUNT""}","{""ImportId"":""QID447""}","{""ImportId"":""QID448_TEXT""}","{""ImportId"":""QID449_TEXT""}","{""ImportId"":""QID450_FIRST_CLICK""}","{""ImportId"":""QID450_LAST_CLICK""}","{""ImportId"":""QID450_PAGE_SUBMIT""}","{""ImportId"":""QID450_CLICK_COUNT""}","{""ImportId"":""QID451""}","{""ImportId"":""QID452_TEXT""}","{""ImportId"":""QID453_TEXT""}","{""ImportId"":""QID454_FIRST_CLICK""}","{""ImportId"":""QID454_LAST_CLICK""}","{""ImportId"":""QID454_PAGE_SUBMIT""}","{""ImportId"":""QID454_CLICK_COUNT""}","{""ImportId"":""QID455""}","{""ImportId"":""QID456_TEXT""}","{""ImportId"":""QID457_TEXT""}","{""ImportId"":""QID458_FIRST_CLICK""}","{""ImportId"":""QID458_LAST_CLICK""}","{""ImportId"":""QID458_PAGE_SUBMIT""}","{""ImportId"":""QID458_CLICK_COUNT""}","{""ImportId"":""QID459""}","{""ImportId"":""QID460_TEXT""}","{""ImportId"":""QID461_TEXT""}","{""ImportId"":""QID462_FIRST_CLICK""}","{""ImportId"":""QID462_LAST_CLICK""}","{""ImportId"":""QID462_PAGE_SUBMIT""}","{""ImportId"":""QID462_CLICK_COUNT""}","{""ImportId"":""QID463""}","{""ImportId"":""QID464_TEXT""}","{""ImportId"":""QID465_TEXT""}","{""ImportId"":""QID466_FIRST_CLICK""}","{""ImportId"":""QID466_LAST_CLICK""}","{""ImportId"":""QID466_PAGE_SUBMIT""}","{""ImportId"":""QID466_CLICK_COUNT""}","{""ImportId"":""QID467""}","{""ImportId"":""QID468_TEXT""}","{""ImportId"":""QID469_TEXT""}","{""ImportId"":""QID470_FIRST_CLICK""}","{""ImportId"":""QID470_LAST_CLICK""}","{""ImportId"":""QID470_PAGE_SUBMIT""}","{""ImportId"":""QID470_CLICK_COUNT""}","{""ImportId"":""QID471""}","{""ImportId"":""QID472_TEXT""}","{""ImportId"":""QID473_TEXT""}","{""ImportId"":""QID474_FIRST_CLICK""}","{""ImportId"":""QID474_LAST_CLICK""}","{""ImportId"":""QID474_PAGE_SUBMIT""}","{""ImportId"":""QID474_CLICK_COUNT""}","{""ImportId"":""QID475""}","{""ImportId"":""QID476_TEXT""}","{""ImportId"":""QID477_TEXT""}","{""ImportId"":""QID478_FIRST_CLICK""}","{""ImportId"":""QID478_LAST_CLICK""}","{""ImportId"":""QID478_PAGE_SUBMIT""}","{""ImportId"":""QID478_CLICK_COUNT""}","{""ImportId"":""QID479""}","{""ImportId"":""QID480_TEXT""}","{""ImportId"":""QID481_TEXT""}","{""ImportId"":""QID482_FIRST_CLICK""}","{""ImportId"":""QID482_LAST_CLICK""}","{""ImportId"":""QID482_PAGE_SUBMIT""}","{""ImportId"":""QID482_CLICK_COUNT""}","{""ImportId"":""QID483""}","{""ImportId"":""QID484_TEXT""}","{""ImportId"":""QID485_TEXT""}","{""ImportId"":""QID486_FIRST_CLICK""}","{""ImportId"":""QID486_LAST_CLICK""}","{""ImportId"":""QID486_PAGE_SUBMIT""}","{""ImportId"":""QID486_CLICK_COUNT""}","{""ImportId"":""QID487""}","{""ImportId"":""QID488_TEXT""}","{""ImportId"":""QID489_TEXT""}","{""ImportId"":""QID490_FIRST_CLICK""}","{""ImportId"":""QID490_LAST_CLICK""}","{""ImportId"":""QID490_PAGE_SUBMIT""}","{""ImportId"":""QID490_CLICK_COUNT""}","{""ImportId"":""QID491""}","{""ImportId"":""QID492_TEXT""}","{""ImportId"":""QID493_TEXT""}","{""ImportId"":""QID494_FIRST_CLICK""}","{""ImportId"":""QID494_LAST_CLICK""}","{""ImportId"":""QID494_PAGE_SUBMIT""}","{""ImportId"":""QID494_CLICK_COUNT""}","{""ImportId"":""QID495""}","{""ImportId"":""QID19""}","{""ImportId"":""QID497""}","{""ImportId"":""QID497_1_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID506""}","{""ImportId"":""QID423_TEXT""}","{""ImportId"":""QID498""}","{""ImportId"":""QID499""}","{""ImportId"":""QID414""}","{""ImportId"":""QID415""}","{""ImportId"":""QID417""}","{""ImportId"":""QID408""}","{""ImportId"":""QID410""}","{""ImportId"":""QID503""}","{""ImportId"":""QID413""}","{""ImportId"":""QID505""}","{""ImportId"":""QID411""}","{""ImportId"":""QID412""}","{""ImportId"":""QID405_TEXT""}"
2019-09-04 08:41:50,2019-09-04 08:46:31,IP Address,137.56.63.159,100,281,True,2019-09-04 08:46:32,R_2Csxa7B3uziYgwh,,,,,51.58349609375,5.0995941162109375,anonymous,EN,Yes,TEST TEST TEST\,,,,,,Leonardo,52711,1.123,1.123,6.283,1,I got it right,,215642,0,0,1.377,0,I did not recognise the person,Pirlo,1700594,3.979,3.979,13.981,1,I got it right,,26941,0,0,2.672,0,I got it right,,43113,0,0,4.523,0,"I recognised the person, but I could not remember their name",,15326144,0,0,1.433,0,I got it right,,3253211,0,0,5.964,0,I got it right,,170459,0,0,1.766,0,I got it right,,157437,0,0,1.001,0,I got it right,,2278804,0,0,1.166,0,I got it right,,827267,0,0,2.828,0,"I recognised the person, but I could not remember their name",,68378,0,0,6.898,0,I got it right,,352699,0,0,17.545,0,"I recognised the person, but I could not remember their name",,523032,0,0,1.637,0,I got it right,,379216,0,0,6.047,0,I got it right,,15135713,0,0,0.802,0,I got it right,,50908,0,0,2.101,0,I got it right,,54539,0,0,1.392,0,I got it right,,28753159,0,0,3.56,0,I did not recognise the person,,1476899,0,0,15.735,0,"I got it wrong, but the correct name was “on the tip of my tongue”",Associate's and/or Bachelor's degree,,,Science and Technology,,,,,IM_b91AVV97H2Pr9m5,,,,,,,,,,
2019-09-04 08:52:13,2019-09-04 09:00:47,IP Address,137.56.63.159,100,514,True,2019-09-04 09:00:49,R_3iqZ3gnGqTHZmGS,,,,,51.58349609375,5.0995941162109375,anonymous,EN,Yes,testtesttest,,,,,,,415045,0,0,0.579,0,I got it right,,44735,0,0,16.805,0,I got it right,,396803,0,0,1.688,0,I did not recognise the person,,1439517,0,0,0.559,0,I got it right,,596566,0,0,1.311,0,I got it right,,538605,0,0,2.234,0,I did not recognise the person,,8490390,0,0,5.776,0,"I recognised the person, but I could not remember their name",,10049,0,0,0.608,0,I got it right,,760163,0,0,1.298,0,I got it right,,26546076,0,0,0.733,0,I got it right,,30410,0,0,1.101,0,I got it right,,62809,0,0,1.365,0,"I got it wrong, but the correct name was “on the tip of my tongue”",,54174,0,0,0.851,0,I got it right,,14995351,0,0,0.653,0,I got it right,,70938,0,0,0.743,0,I got it right,,18598186,0,0,0.697,0,I got it right,,20455,0,0,0.998,0,I got it right,,222417,0,0,1.093,0,I did not recognise the person,,17130,0,0,1.107,0,"I recognised the person, but I could not remember their name",,426208,0,0,0.874,0,I got it right,Associate's and/or Bachelor's degree,,,Science and Technology,,,,,,,,,,,,,,,
2019-09-04 09:00:49,2019-09-04 09:08:12,IP Address,137.56.63.159,100,442,True,2019-09-04 09:08:13,R_2upl0ewgSTSnOBs,,,,,51.58349609375,5.0995941162109375,anonymous,EN,Yes,tst tst tst,,,,,,,1491798,0,0,1.277,0,I got it right,,8716,0,0,0.662,0,I got it right,,21162104,0,0,0.124,0,I got it right,,55014,0,0,0.093,0,I got it right,,4429395,0,0,0.147,0,I got it right,,530567,0,0,0.098,0,I got it right,,345802,0,0,0.084,0,I got it right,,154183,0,0,0.176,0,I got it right,,11955,0,0,0.34,0,I got it right,,73626,0,0,0.1,0,I got it right,,11509807,0,0,0.06,0,I got it right,,2790066,0,0,0.353,0,I got it right,,864,0,0,0.253,0,I got it right,,3270177,0,0,0.261,0,I got it right,,15766,0,0,0.287,0,I got it right,,12810,0,0,0.307,0,I got it right,,2323727,0,0,0.202,0,I got it right,,22048328,0,0,0.108,0,I got it right,,1172821,0,0,0.174,0,I got it right,,856871,0,0,0.458,0,I got it right,Associate's and/or Bachelor's degree,,,Science and Technology,,,,,,,,,,,,,,,
2019-09-04 09:32:27,2019-09-04 09:34:22,Survey Preview,,100,114,True,2019-09-04 09:34:22,R_1OvGDpLethLWspq,,,,,51.58349609375,5.0995941162109375,preview,EN,Yes,TSTTSTTSTTST,,,,,,,14995351,0,0,0.947,0,"I got it wrong, but the correct name was “on the tip of my tongue”",,6967012,0,0,0.29,0,I got it right,,20865738,0,0,0.131,0,I got it right,,1690486,0,0,0.093,0,I got it right,,11061022,0,0,1.814,0,I got it right,,1221476,0,0,0.839,0,I got it right,,192892,0,0,1.08,0,I got it right,,37275,0,0,0.378,0,I got it right,,70938,0,0,0.39,0,I got it right,,162617,0,0,0.582,0,I got it right,,303960,0,0,0.445,0,I got it right,,20913302,0,0,2.01,0,I got it right,,4484462,0,0,1.173,0,I got it right,,6479315,0,0,0.809,0,I got it right,,15916,0,0,0.644,0,I got it right,,4670,0,0,0.303,0,I got it right,,19903,0,0,0.602,0,I got it right,,599745,0,0,0.297,0,I got it right,,2289856,0,0,4.089,0,I got it right,,16705483,0,0,0.296,0,I got it right,Associate's and/or Bachelor's degree,,,Science and Technology,,,,,IM_b91AVV97H2Pr9m5,Adequate,Adequate,Adequate,6-7.5 hours,,<1 glasses,,No,,
2019-09-04 09:08:15,2019-09-04 09:35:20,IP Address,137.56.63.159,100,1625,True,2019-09-04 09:35:20,R_cMTX1EO3jcS70it,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,,,Male,,No,michael jackson,14995351,3.023,3.023,13.172,1,I got it right,obama,534366,1.356,1.356,4.659,1,I got it right,sandra bullock,29455,2.342,2.342,12.782,1,I got it right,,50960,4.932,4.932,7.675,1,I did not recognise the person,channing tatum,2095762,1.491,1.491,7.321,1,I got it right,sigurney,64965,1.662,1.662,13.057,1,I got it right,chris miller,6967012,2.048,2.048,16.128,1,"I recognised the person, but I could not remember their name",,47643,0,0,2.826,0,I did not recognise the person,50 cent,192481,1.989,1.989,6.187,1,I got it right,david bowie,8786,1.385,1.385,8.052,1,I got it right,,345090,2.205,2.205,6.146,1,I did not recognise the person,,217702,1.6,1.6,7.531,1,"I recognised the person, but I could not remember their name",,182023,0,0,8.068,0,I did not recognise the person,"emma watson ",149243,1.286,1.286,12.132,1,I got it right,,79505,5.118,5.118,11.059,1,I did not recognise the person,sweden,1246843,2.347,2.347,13.224,1,I did not recognise the person,,2130104,2.329,2.329,7.1,1,"I recognised the person, but I could not remember their name",lady gaga,17782843,1.63,1.63,4.358,1,I got it right,,518700,0,0,6.994,0,"I recognised the person, but I could not remember their name",,82061,2.922,5.937,6.738,2,I did not recognise the person,Associate's and/or Bachelor's degree,,,Science and Technology,,FALOJA16,,,IM_6ro6G3R8qpOI1b7,Quite good,Quite good,Good,6-7.5 hours,,1-2.5 glasses,,No,,
2019-09-04 09:52:51,2019-09-04 09:57:22,IP Address,137.56.63.159,100,270,True,2019-09-04 09:57:22,R_2vf9edfx7YUbBiN,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,,,Male,,Yes,Ronaldo,623737,0,0,3.939,0,I got it right,,44463,0,0,0.801,0,I got it right,,827652,0,0,0.227,0,"I got it wrong, but the correct name was “on the tip of my tongue”",,210359,0,0,0.274,0,"I recognised the person, but I could not remember their name",,31460,0,0,0.168,0,I did not recognise the person,,42621,0,0,0.323,0,I got it right,,481634,0,0,0.094,0,I got it right,,168576,0,0,0.267,0,I got it right,,342753,0,0,4.283,0,I got it right,,8300,0,0,0.662,0,I got it right,,21194159,0,0,0.78,0,I got it right,,231156,0,0,0.604,0,I got it right,,24518,0,0,0.18,0,I got it right,,1806,0,0,1.076,0,I got it right,,1233754,0,0,2.456,0,I got it right,,2847,0,0,0.746,0,I got it right,,5132,0,0,0.4,0,I got it right,,235312,0,0,0.881,0,I got it right,,147995,0,0,0.304,0,I got it right,,353535,0,0,1.098,0,I got it right,Associate's and/or Bachelor's degree,,,Science and Technology,,TESTTESTTEST,,,,Adequate,Adequate,Adequate,,,,,,,
2019-09-09 01:02:45,2019-09-09 02:46:35,IP Address,137.56.70.148,100,6230,True,2019-09-09 02:46:36,R_2Vz77Zq2V8C58PQ,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,,,Female,,Yes,jonny depp,71870,1.672,1.672,6.234,1,I got it right,?,335017,2.342,2.342,5.486,1,I did not recognise the person,?,1031515,1.84,1.84,4.291,1,I did not recognise the person,?,342753,1.669,1.669,4.169,1,I did not recognise the person,?,8135890,1.411,1.411,3.785,1,I did not recognise the person,?,1783180,2.066,2.066,4.089,1,I did not recognise the person,bieber,23680998,1.774,1.774,5.516,1,I got it right,?,33422,1.273,1.273,3.743,1,I did not recognise the person,?,1017,1.429,1.429,3.594,1,I did not recognise the person,soares,7819615,2.035,2.035,7.696,1,I got it right,?,1003976,1.652,1.652,4.23,1,I did not recognise the person,mark zukermann,2844938,1.623,8.815,9.214,2,"I got it wrong, but the correct name was “on the tip of my tongue”",?,336822,1.398,1.398,3.445,1,I did not recognise the person,matt damon,166959,1.504,1.504,6.012,1,I got it right,morgan freeman,20584,2.274,2.274,9.577,1,I got it right,drew barrymore,7886,1.673,1.673,27.433,1,I got it right,bill gates,3747,1.651,1.651,6.548,1,I got it right,rudd van niselroy,371475,2.275,8.583,9.038,2,I got it right,?,5806040,1.547,1.547,3.828,1,I did not recognise the person,?,147719,1.823,1.823,5.466,1,I did not recognise the person,Doctoral or Professional degree,,,Humanities,,,,,IM_b91AVV97H2Pr9m5,Quite good,Good,Good,6-7.5 hours,,<1 glasses,,No,,
2019-09-24 03:01:54,2019-09-24 03:11:00,IP Address,137.56.67.177,100,546,True,2019-09-24 03:11:02,R_2pYUKoops3XnNjj,,,,,51.58349609375,5.0995941162109375,anonymous,EN,No,,,,Female,,No,Elvis Presley,9288,1.559,1.559,4.747,1,I got it right,,6323098,3.34,3.34,11.039,1,I did not recognise the person,,151451,0,0,3.965,0,I did not recognise the person,,566103,0,0,2.203,0,I did not recognise the person,Chris Hemsworth,1221476,1.965,1.965,6.863,1,I got it right,Brooks,18984642,2.328,2.328,13.788,1,"I got it wrong, but the correct name was “on the tip of my tongue”",,15852,6.41,6.41,11.812,1,"I recognised the person, but I could not remember their name",Harry Stiles,6064346,2.661,2.661,6.928,1,I did not recognise the person,Kristen Steward,2629332,2.73,2.73,6.875,1,I got it right,,18995,2.979,2.979,4.764,1,"I recognised the person, but I could not remember their name",,40547,0,0,3.082,0,I did not recognise the person,,52627,2.112,2.112,10.302,1,"I recognised the person, but I could not remember their name",Milla Jovovich,159547,2.121,2.121,6.943,1,I got it right,,301731,7.567,7.567,9.597,1,"I recognised the person, but I could not remember their name",,248127,0,0,6.015,0,"I recognised the person, but I could not remember their name",,11983273,0,0,2.585,0,"I recognised the person, but I could not remember their name",,15992,0,0,2.054,0,I did not recognise the person,Anne Frank,804581,1.394,1.394,4.924,1,I got it right,Michael,68904,1.962,1.962,12.356,1,"I recognised the person, but I could not remember their name",,1532027,0,0,3.199,0,I did not recognise the person,Doctoral or Professional degree,,,Humanities,,GEJABU27,,,IM_b91AVV97H2Pr9m5,Quite good,Quite good,Adequate,6-7.5 hours,,<1 glasses,,Yes,Yes,
