"CelebrityID1","CelebrityID2","CelebrityID3","CelebrityID4","CelebrityID5","CelebrityID6","CelebrityID7","CelebrityID8","CelebrityID9","CelebrityID10","CelebrityID11","CelebrityID12","CelebrityID13","CelebrityID14","CelebrityID15","CelebrityID16","CelebrityID17","CelebrityID18","CelebrityID19","CelebrityID20","Did.You.Recognize1","Did.You.Recognize2","Did.You.Recognize3","Did.You.Recognize4","Did.You.Recognize5","Did.You.Recognize6","Did.You.Recognize7","Did.You.Recognize8","Did.You.Recognize9","Did.You.Recognize10","Did.You.Recognize11","Did.You.Recognize12","Did.You.Recognize13","Did.You.Recognize14","Did.You.Recognize15","Did.You.Recognize16","Did.You.Recognize17","Did.You.Recognize18","Did.You.Recognize19","Did.You.Recognize20"
"52711","215642","1700594","26941","43113","15326144","3253211","170459","157437","2278804","827267","68378","352699","523032","379216","15135713","50908","54539","28753159","1476899","2","1","2","2","4","2","2","2","2","2","4","2","4","2","2","2","2","2","1","3"
"415045","44735","396803","1439517","596566","538605","8490390","10049","760163","26546076","30410","62809","54174","14995351","70938","18598186","20455","222417","17130","426208","2","2","1","2","2","1","4","2","2","2","2","3","2","2","2","2","2","1","4","2"
"1491798","8716","21162104","55014","4429395","530567","345802","154183","11955","73626","11509807","2790066","864","3270177","15766","12810","2323727","22048328","1172821","856871","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"14995351","6967012","20865738","1690486","11061022","1221476","192892","37275","70938","162617","303960","20913302","4484462","6479315","15916","4670","19903","599745","2289856","16705483","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"14995351","534366","29455","50960","2095762","64965","6967012","47643","192481","8786","345090","217702","182023","149243","79505","1246843","2130104","17782843","518700","82061","2","2","2","1","2","2","4","1","2","2","1","4","1","2","1","1","4","2","4","1"
"623737","44463","827652","210359","31460","42621","481634","168576","342753","8300","21194159","231156","24518","1806","1233754","2847","5132","235312","147995","353535","2","2","3","4","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"71870","335017","1031515","342753","8135890","1783180","23680998","33422","1017","7819615","1003976","2844938","336822","166959","20584","7886","3747","371475","5806040","147719","2","1","1","1","1","1","2","1","1","2","1","3","1","2","2","2","2","2","1","1"
"9288","6323098","151451","566103","1221476","18984642","15852","6064346","2629332","18995","40547","52627","159547","301731","248127","11983273","15992","804581","68904","1532027","2","1","1","1","2","3","4","1","2","4","1","4","2","4","4","4","1","2","4","1"
"424778","10672","1535704","215554","905487","383926","53029","1669496","337250","202664","5570621","676082","80903","711747","7335197","331124","164120","262482","142241","8135890","1","4","4","4","1","1","1","1","1","4","1","2","4","4","1","2","4","1","1","2"
"2150841","77880","153295","314563","337629","6844407","2796527","23035","936829","4643464","248095","763024","8485","62682","24041298","303225","19381538","63401","168540","419248","2","2","2","4","1","4","1","2","1","1","4","1","2","1","2","1","1","2","1","1"
"5792809","18984642","273484","32472","6944155","7079612","68131","219361","530567","14328","144171","113746","3793726","3773365","172313","26182584","493900","1653786","179331","5570621","3","2","1","1","4","1","4","1","1","1","4","2","1","1","1","1","2","1","4","1"
"864","346200","149243","7698038","599745","45380","79156","353535","27717","56439","23805","23725","623737","19376148","171268","223253","44059","212860","8099","3845","2","1","3","1","1","4","1","1","1","1","3","4","1","4","1","1","1","1","1","2"
"12153654","2150841","19394613","85406","159547","2146365","91084","675561","15622","11061022","146638","78262","6064346","22048328","22378444","73631","7176557","528673","534366","224484","2","2","2","2","1","1","2","1","1","1","1","2","1","2","4","1","1","1","2","1"
"534366","182997","16477368","623737","707815","420438","159547","104743","57187","446099","262376","1353497","240390","26182584","3270177","4408","22112821","352699","19672919","3591242","2","1","1","2","1","1","1","4","2","1","3","1","1","1","1","4","1","1","4","1"
"20455","9615288","342753","166911","534366","16894","345802","53029","460207","162870","19499","753300","16228","210318","7412236","926934","343134","26091","38459","14995351","2","2","1","1","2","3","2","2","4","2","2","4","1","1","2","2","1","2","2","2"
"6479315","212860","1181010","154247","534366","19661665","11955","2323727","173691","547384","143983","42068","538605","222417","2130104","495350","2825163","74326","18969800","18980847","2","2","1","1","2","1","2","1","1","3","1","2","1","1","3","1","1","1","1","1"
"4429395","14995351","1982061","20913924","8135890","16603","468318","23680998","12684530","54985","335195","3382","63747","1172503","690389","20796","741705","78781","13199916","625371","2","2","2","2","2","2","2","2","2","2","1","2","2","1","4","1","1","2","2","1"
"144936","9288","27611","231156","4601","899033","8135890","32817","980836","61404","18617829","25832","595","17837763","403293","104492","142056","23243880","198606","25169","2","2","3","3","2","1","1","2","1","2","3","1","2","1","1","2","2","4","1","2"
"42068","240390","149690","509997","66164","145532","665823","164120","53736","5570621","64965","149243","4637590","418625","6479315","17782843","240940","864","409842","416641","2","1","1","2","2","1","1","2","4","1","2","2","2","4","2","2","2","2","1","2"
"47643","148328","17130","1996436","1126578","16707","200750","1824993","8786","14995351","410484","24953","138483","278119","20647283","345802","7819615","757257","8135890","64372","2","2","4","2","1","2","2","1","2","2","2","2","2","2","1","2","2","3","2","1"
