"en_curid","outcome","name","TotalPageViews","participant","trial_number"
"1476899","3","Donnie Yen",0.01367379426573,1,1
"15135713","2","Jim Morrison",0.159817307025903,1,2
"15326144","2","Neymar da Silva",0.172850433077794,1,3
"157437","2","Iggy Pop",0.0543854171331046,1,4
"1700594","2","Andrea Pirlo",0.0399474941838461,1,5
"170459","2","LL Cool J",0.0454371819725325,1,6
"215642","1","LeAnn Rimes",0.00790030069736805,1,7
"2278804","2","Henry Cavill",0.0644250813491481,1,8
"26941","2","Spike Lee",0.0315663072920039,1,9
"28753159","1","Zendaya Coleman",0.0368044180808589,1,10
"3253211","2","Chloë Moretz",0.0436057387763274,1,11
"352699","4","Shahrukh Khan",0.158459584111839,1,12
"379216","2","Wladimir Klitschko",0.0890308278261574,1,13
"43113","4","Ashley Judd",0.0340209424322689,1,14
"50908","2","Roger Ebert",0.0289695161376346,1,15
"523032","2","Kanye West",0.259392863977722,1,16
"52711","2","Leonardo DiCaprio",0.348659767616237,1,17
"54539","2","Eddie Murphy",0.119872308433416,1,18
"68378","2","Jamie Lee Curtis",0.0576948350956011,1,19
"827267","4","Giovanni Ribisi",0.0130871734304798,1,20
"11509807","2","Sean Kingston",0.0153839232008141,2,1
"1172821","2","Robinho",0.0449176069817234,2,2
"11955","2","George H. W. Bush",0.116640881266038,2,3
"12810","2","Garry Kasparov",0.00843188304774736,2,4
"1491798","2","Gerard Piqué",0.0710839964713764,2,5
"154183","2","Harry Belafonte",0.00381332776982833,2,6
"15766","2","James Brown",0.0472537728350175,2,7
"21162104","2","Stephan El Shaarawi",0.0224304036611894,2,8
"22048328","2","Robin van Persie",0.0710378351614847,2,9
"2323727","2","Ellen Page",0.116094881527861,2,10
"2790066","2","Josh Radnor",0.0393558322540495,2,11
"3270177","2","Leighton Meester",0.108978189387148,2,12
"345802","2","John Cena",0.311859463695991,2,13
"4429395","2","Eminem",0.74119327913004,2,14
"530567","2","Bam Margera",0.0515749463162647,2,15
"55014","2","Leslie Nielsen",0.0559020165233817,2,16
"73626","2","Christopher Reeve",0.0522266450439124,2,17
"856871","2","Till Lindemann",0.0125271698596451,2,18
"864","2","Andy Warhol",0.209282109633182,2,19
"8716","2","Dolly Parton",0.0669168580191051,2,20
"11061022","2","Saoirse Ronan",0.0355055269505328,3,1
"1221476","2","Chris Hemsworth",0.138593101101682,3,2
"14995351","3","Michael Jackson",1,3,3
"15916","2","Jean-Michel Basquiat",0.0104970348096491,3,4
"162617","2","Chuck Norris",0.246562750717803,3,5
"16705483","2","Zac Efron",0.229445960179489,3,6
"1690486","2","Ellen Pompeo",0.0237391987240826,3,7
"192892","2","Bryan Adams",0.0456238593364921,3,8
"19903","2","Marlon Brando",0.14401555052888,3,9
"20865738","2","Derrick Rose",0.033848725237673,3,10
"20913302","2","Robert De Niro",0.188191667405837,3,11
"2289856","2","Elizabeth Banks",0.064951365915584,3,12
"303960","2","Bill Paxton",0.00156127760587511,3,13
"37275","2","Denise Richards",0.0638119216823537,3,14
"4484462","2","Stephenie Meyer",0.0909972753846562,3,15
"4670","2","Bruce Campbell",0.0140053300127232,3,16
"599745","2","Dolph Lundgren",0.0740745919422917,3,17
"6479315","2","Shakira",0.35334323679055,3,18
"6967012","2","Seth Green",0.0388396512674895,3,19
"70938","2","Patrick Stewart",0.0494200459588105,3,20
"1246843","1","Yulia Tymoshenko",0.0162026411627687,4,1
"149243","2","Emma Watson",0.298308944513164,4,2
"14995351","2","Michael Jackson",1,4,3
"17782843","2","Lady Gaga",0.709883925054682,4,4
"182023","1","Fred Durst",0.00865804779727698,4,5
"192481","2","50 Cent",0.266275327043683,4,6
"2095762","2","Channing Tatum",0.203806668106029,4,7
"2130104","4","Wentworth Miller",0.0845479186340245,4,8
"217702","4","Geena Davis",0.0102515327922131,4,9
"29455","2","Sandra Bullock",0.207235189948728,4,10
"345090","1","Andy Roddick",0.0277720315796409,4,11
"47643","1","Michel Foucault",0.0709941052706034,4,12
"50960","1","Joan Baez",0.016079836677093,4,13
"518700","4","Jennifer Hudson",0.0492171329904914,4,14
"534366","2","Barack Obama",0.766740127369279,4,15
"64965","2","Sigourney Weaver",0.0530214267195979,4,16
"6967012","4","Seth Green",0.0388396512674895,4,17
"79505","1","Serge Gainsbourg",0.0432999432716433,4,18
"82061","1","Tina Turner",0.0922242007904322,4,19
"8786","2","David Bowie",0.202592869510804,4,20
"1233754","2","Tom Welling",0.0293704079336418,5,1
"147995","2","Marvin Gaye",0.0497769297837563,5,2
"168576","2","James Woods",0.0186460532721766,5,3
"1806","2","Arnold Schwarzenegger",0.35295620622198,5,4
"210359","4","Bette Midler",0.0105674817886003,5,5
"21194159","2","Marco Reus",0.00593498685037261,5,6
"231156","2","Richard Pryor",0.0274935307141698,5,7
"235312","2","Anjelica Huston",0.00741876564914039,5,8
"24518","2","Peter Sellers",0.0188059351151951,5,9
"2847","2","Aung San Suu Kyi",0.0454264081481201,5,10
"31460","1","Tom Cruise",0.310225150826411,5,11
"342753","2","Audrey Tautou",0.0325505400031887,5,12
"353535","2","Roman Abramovich",0.0520330441964952,5,13
"42621","2","Gwyneth Paltrow",0.150253516430831,5,14
"44463","2","Sophia Loren",0.0662088944016898,5,15
"481634","2","Cillian Murphy",0.0377211272201137,5,16
