"Did.You.Recognize1","Did.You.Recognize2","Did.You.Recognize3","Did.You.Recognize4","Did.You.Recognize5","Did.You.Recognize6","Did.You.Recognize7","Did.You.Recognize8","Did.You.Recognize9","Did.You.Recognize10","Did.You.Recognize11","Did.You.Recognize12","Did.You.Recognize13","Did.You.Recognize14","Did.You.Recognize15","Did.You.Recognize16","Did.You.Recognize17","Did.You.Recognize18","Did.You.Recognize19","Did.You.Recognize20"
"C","NR","C","C","RNN","C","C","C","C","C","RNN","C","RNN","C","C","C","C","C","NR","TT"
"C","C","NR","C","C","NR","RNN","C","C","C","C","TT","C","C","C","C","C","NR","RNN","C"
"C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"TT","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"C","C","C","NR","C","C","RNN","NR","C","C","NR","RNN","NR","C","NR","NR","RNN","C","RNN","NR"
"C","C","TT","RNN","NR","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"C","NR","NR","NR","NR","NR","C","NR","NR","C","NR","TT","NR","C","C","C","C","C","NR","NR"
"C","NR","NR","NR","C","TT","RNN","NR","C","RNN","NR","RNN","C","RNN","RNN","RNN","NR","C","RNN","NR"
"NR","RNN","RNN","RNN","NR","NR","NR","NR","NR","RNN","NR","C","RNN","RNN","NR","C","RNN","NR","NR","C"
"C","C","C","RNN","NR","RNN","NR","C","NR","NR","RNN","NR","C","NR","C","NR","NR","C","NR","NR"
"TT","C","NR","NR","RNN","NR","RNN","NR","NR","NR","RNN","C","NR","NR","NR","NR","C","NR","RNN","NR"
"C","NR","TT","NR","NR","RNN","NR","NR","NR","NR","TT","RNN","NR","RNN","NR","NR","NR","NR","NR","C"
"C","C","C","C","NR","NR","C","NR","NR","NR","NR","C","NR","C","RNN","NR","NR","NR","C","NR"
"C","NR","NR","C","NR","NR","NR","RNN","C","NR","TT","NR","NR","NR","NR","RNN","NR","NR","RNN","NR"
"C","C","NR","NR","C","TT","C","C","RNN","C","C","RNN","NR","NR","C","C","NR","C","C","C"
"C","C","NR","NR","C","NR","C","NR","NR","TT","NR","C","NR","NR","TT","NR","NR","NR","NR","NR"
"C","C","C","C","C","C","C","C","C","C","NR","C","C","NR","RNN","NR","NR","C","C","NR"
"C","C","TT","TT","C","NR","NR","C","NR","C","TT","NR","C","NR","NR","C","C","RNN","NR","C"
"C","NR","NR","C","C","NR","NR","C","RNN","NR","C","C","C","RNN","C","C","C","C","NR","C"
"C","C","RNN","C","NR","C","C","NR","C","C","C","C","C","C","NR","C","C","TT","C","NR"
"C","C","C","C","C","C","C","C","C","C","C","C","C","C","NR","C","NR","C","NR","RNN"
"C","C","C","C","NR","NR","C","C","C","C","C","C","NR","C","NR","C","C","C","NR","NR"
"C","NR","C","C","C","C","C","C","RNN","C","C","C","RNN","C","RNN","C","C","C","NR","NR"
"C","RNN","C","NR","NR","NR","NR","C","C","NR","NR","NR","C","NR","NR","NR","NR","NR","NR","NR"
"NR","C","C","C","C","RNN","RNN","RNN","C","C","C","C","NR","C","NR","NR","NR","NR","NR","NR"
"C","NR","NR","NR","NR","NR","NR","NR","NR","C","NR","NR","C","C","NR","C","NR","C","RNN","C"
"NR","C","NR","C","C","RNN","NR","NR","TT","NR","NR","RNN","RNN","RNN","RNN","NR","NR","NR","C","NR"
"NR","NR","NR","NR","NR","C","C","C","NR","NR","NR","C","C","C","NR","NR","C","C","RNN","NR"
"C","C","NR","C","NR","C","RNN","NR","NR","RNN","C","NR","C","NR","C","C","NR","NR","C","NR"
"C","NR","C","C","TT","NR","NR","NR","TT","RNN","RNN","NR","C","RNN","NR","NR","TT","TT","NR","NR"
"NR","C","NR","C","C","NR","NR","C","NR","NR","C","NR","NR","NR","RNN","NR","NR","NR","C","C"
"TT","NR","NR","RNN","RNN","C","NR","C","C","RNN","NR","RNN","NR","NR","NR","C","NR","NR","TT","NR"
"NR","NR","NR","RNN","C","NR","NR","NR","NR","NR","RNN","C","C","NR","NR","NR","NR","C","C","C"
"C","NR","NR","NR","NR","RNN","NR","C","C","NR","RNN","C","C","C","NR","C","NR","C","RNN","C"
"C","NR","RNN","RNN","NR","RNN","NR","TT","C","RNN","NR","RNN","NR","C","NR","NR","NR","C","C","NR"
"C","NR","RNN","NR","TT","C","C","C","NR","NR","NR","C","RNN","NR","NR","NR","RNN","RNN","RNN","NR"
"C","NR","NR","NR","NR","C","NR","C","RNN","C","RNN","RNN","NR","RNN","C","TT","NR","NR","C","TT"
"C","RNN","NR","C","C","C","NR","NR","C","NR","NR","TT","C","C","TT","RNN","RNN","RNN","RNN","C"
"C","NR","RNN","C","NR","NR","NR","NR","NR","NR","NR","RNN","NR","C","NR","NR","NR","NR","C","NR"
"C","NR","RNN","NR","C","C","C","C","C","C","NR","NR","C","C","RNN","C","RNN","C","C","C"
